2531981,20220308/LSVN74LK1KN015406-vin_android_1646723939092_0b8739d86419421eb54112b58105bc28.jpg,LSVN14BR1KN075458,10256,2022-03-08 15:19:00,"大众汽车（VOLKSWAGEN）牌
 整车型号 SVW71512AG
 发动机型号DLX
 乘坐人数
 5
 发动机排量
 最大允许总质量1580kg制造年月2019-05
 1498
 mL
 发动机最大净功率
 81kW
 车辆识别代号
 1
 制造国中国
 LSVN14BR1KN075458
 上汽大众汽车有限公司制造",4000
2531980,20220308/LSGKE5416KW275385-vin_android_1646723932346_fcf586c320504d9f9413330476ab8835.jpg,LSGKE5416KW275385,8685,2022-03-08 15:18:59,"国
 上汽通用汽车有限公司制造
 牌牌：别克
 车型号：SGM7133LBA1
 车辆识别代号：LSGKE5416KW275385
 发动机型号：LIY
 发动机排量（ml）：1349
 制造年月：2019-04
 发动机最大净功率（kW）：115
 最大允许总质量（kg）：1695
 乘坐人数：5
 8
 H",4000
2531979,20220308/LSGJB84J0FY227736-vin_ios_1646723934692_44649.jpg,LSGJB84J0FY227736,8470,2022-03-08 15:18:56,"GM
 车辆识别代号：LSGJB84J0FY227736
 整车型号：SGM7141GAA3
 号：
 别克
 制造年月：15-05
 动机型号：
 LFF
 乘坐人数：
 5
 动机排量：
 1.372
 L
 最大允许总质量：
 动机最大净功率：103kW
 1840kg
 国上海通用东岳汽车有限公司制造",4000
2531978,20220308/LGWEE2K57FE010992-vin_android_1646723929621_7fa273090b064bbba9bab902a8841821.jpg,LGWEE2K57FE010992,38808,2022-03-08 15:18:55,"长城汽车股份有限公司（中国）制造
 车辆识别代号：LGWEE2K57FE010992
 认证编号：2010011101401652整车型号：CC7150CE00
 发动机型号：GW4G15
 品牌：长城牌制造国：中国
 发动机最大净功率：74kW
 发动机排量：1497ml
 最大允许总质量：1500kg乘坐人数：5人制造年月：2015/04",4000
2531977,20220308/LFV3A28KXC3003995-vin_android_1646723932614_5528f19c63504d729e8ef5df0ef1ff79.jpg,LFV3A28KXC3003995,1920,2022-03-08 15:18:54,"一汽一大众汽车有限公司·中国制造
 型量
 奥迪（AUDI）
 型号：FV7203TFGVTG
 车辆识
 别代号
 LFV3A28KXC3003995
 制造日期
 2012/01/17
 发动机型号
 总质量：2055kg乘坐人数：5）
 GDZ
 额定功率：132kW排量1984ml",4180
2531976,20220308/LFV2A1153E3146008-vin_android_1646723934273_29b77ac51cd94084bc7be261c3bdd660.jpg,LFV2A1153E3146008,10576,2022-03-08 15:18:54,"1
 一汽-大众汽车有限公司·中国制造
 商标：大众牌
 型号：FV7162FAMGG
 车辆识
 别代号：
 LFV2A1153E3146008",4000
2531975,20220308/LZWADAGA5EB901323-vin_android_1646723930402_7fc5973d16cf49eaa10e563c61c9a965.jpg,LZWADAGA5EB901323,2234,2022-03-08 15:18:52,"LZW6462ABF
 中国
 LZWADAGA5EB901323
 国
 整车型号
 kg
 造
 制
 KW
 车辆识别代号
 最大允许总质量1900
 牌宝骏牌
 人
 发动机最大净功率78
 月2014/12
 年
 6
 L2B
 制造
 乘
 员数
 发动机型号
 发动机排量1.485L
 上汽通用五菱汽车股份有限公司",4090
2531974,20220308/LSVAF20C2MN061168-vin_android_1646723930479_1e5b3cb6fb9444748a277471676cab2d.jpg,LSVAF20C2MN061168,10044,2022-03-08 15:18:51,"大众汽车（VOLKSWAGEN）牌
 乘坐人数5
 整车型号SVW71521DF
 1498mL
 发动机排量
 DMB
 发动机型号
 制造年月2021-09
 11725kg
 最大允许总质量
 制造国中国
 发动机最大净功率83kW
 LSVAF20C2MN061168
 车辆识别代号
 上汽大众汽车有限公司制造",4000
2531973,20220308/LBEMDAFC0EZ308167-vin_android_1646723930050_30fb75221fe44f8aa75d22d28f799062.jpg,LBEMDAFC0EZ308167,32987,2022-03-08 15:18:49,"3D北京现代汽车有限公司
 制造BHMC
 品牌：
 车辆识别号（VIN）：
 北京现代
 制造国
 LBEMDAFC0EZ308167
 中国
 整车型号：
 最大允许总质量：
 制造年月
 BH7161HAY
 1642kg
 2014/01
 发动机型号：
 发动机排量：
 发动机最大净功率：乘坐人数：
 G4FG
 1591ml
 93.8kW
 5人
 变速器：P
 主减速比：A
 漆色：RBC
 内装色：RY
 ZEISS
 6F
 /03/0815:18",4000
2531972,20220308/WBAFG2107DL962054-vin_android_1646723927643_a5232c999e64483a97924154cae23265.jpg,WBAFG2107DL962054,0,2022-03-08 15:18:49,"品牌开利量空X6
 制造国：中国香港
 整车型号：BMWX6
 车辆识别代号：WBAFG2107DL962054
 发动机型号：N55B30A
 发动机排量：2979ml
 发动机最大净功率（kW）：225
 最大允许总质量（kg）2670
 乘坐人数：5人
 制造商：富盛国际企业有限公司制造年月：2013年02月",4090
2531971,20220308/INVALID_VIN-vin_android_1646723924558_d82de01032644326a1c87f67f1543414.jpg,INVALID_VIN,0,2022-03-08 15:18:49,"东风汽车有限公司制造
 车辆识别代号
 LG8K42112
 品牌
 M2
 整车型号
 2
 乘坐人数
 制造国
 发动机型号
 制造年月
 发动机排量
 载大定码
 出",4000
2531970,20220308/INVALID_VIN-vin_android_1646723925128_9f3b4f5706c14cba92d1ebcc8e7a78c1.jpg,INVALID_VIN,0,2022-03-08 15:18:49,"安徽猎豹汽车有限公司制造
 VIN
 N36DDBF0GA0441A
 品牌：猎豹牌
 型号
 车型
 LBA648
 多用铃乘制造
 发动机最大净功率
 2
 发动机型号
 21Z
 最大允许总质量
 KW
 号
 发动机排量
 2499T
 kg
 乘坐人数",4000
2531969,20220308/LVVDB21B3FD129445-vin_ios_1646723928571_97774.jpg,LVVDB21B3FD129445,0,2022-03-08 15:18:49,"",4225
2531968,20220308/LFPH3ACC591A96028-vin_android_1646723927308_56aeac3c9ef5460b893bdd60de6d6076.jpg,LFPH3ACC591A96028,6880,2022-03-08 15:18:48,"制造国：中国
 生产厂：中国第一汽车集团公司
 制造
 车辆识别代码：LFPH3ACC591A96028
 品牌：红旗牌
 整车型号：CA7165MT3
 最大设计总质量：1735kg
 乘坐人数：5
 发动机型号：
 BWH
 发动机最大净功率：76KW
 发动机排量：
 1.595L
 生产日期：2009年8月",4090
2531967,20220308/LMGAC1G85J1482001-vin_android_1646723922934_067613a19a934e8997a80ce7f995c41e.jpg,LMGAC1G85J1482001,9276,2022-03-08 15:18:45,"广州汽车集团乘用车有限公司制造
 LMGAC1G85J1482001
 整车型号：GAC6450A2E5E
 品牌：传祺牌
 最大允许总质量：1900kg
 发动机排量：1495mL
 乘坐人数：5人
 发动机型号：4A15M1
 制造年月：2018年09月
 制造国：中国
 发动机最大净功率：101kW",4090
